Filename,Run Count,Last Run Date
"C:\Program Files (x86)\Microsoft Visual Studio 12.0\Common7\Tools\spyxx.exe",2,130861634976447918
"C:\Windows\WinSxS\wow64_microsoft-windows-gpowershell-exe_31bf3856ad364e35_6.3.9600.17401_none_33f7939fa9ced19f\powershell_ise.exe",1,130804837809914085
"C:\Program Files (x86)\Microsoft SDKs\Silverlight\v5.0\Toolkit",1,130795096650594111
"C:\Program Files (x86)\Windows Kits\8.1\Debuggers\x86\windbg.exe",1,130789804045688891
"C:\Program Files (x86)\Windows Kits\8.1\Debuggers\x64\windbg.exe",1,130789804004343934
